CODE,COUNTRY,REGION
B7,ANGOLA,Sub-Saharan Africa
1A,ANGUILLA,Caribbean Islands
B8,ANTARCTICA,Antarctic
B9,ANTIGUA AND BARBUDA,Caribbean Islands
C1,ARGENTINA,South America
1B,ARMENIA,West Asia
1C,ARUBA,Caribbean Islands
C3,AUSTRALIA,Oceania
C4,AUSTRIA,Europe
1D,AZERBAIJAN,West Asia
C5,BAHAMAS,Caribbean Islands
C6,BAHRAIN,Middle East
C7,BANGLADESH,South & Southeast Asia
C8,BARBADOS,Caribbean Islands
1F,BELARUS,North Asia
C9,BELGIUM,Europe
D1,BELIZE,Central America
G6,BENIN,Sub-Saharan Africa
D0,BERMUDA,Caribbean Islands
D2,BHUTAN,South & Southeast Asia
D3,BOLIVIA,South America
1E,BOSNIA AND HERZEGOVINA,Europe
B1,BOTSWANA,Sub-Saharan Africa
D4,BOUVET ISLAND,Antarctic
D5,BRAZIL,South America
D6,BRITISH INDIAN OCEAN TERRITORY,South & Southeast Asia
D9,BRUNEI DARUSSALAM,South & Southeast Asia
E0,BULGARIA,Europe
X2,BURKINA FASO,Sub-Saharan Africa
E2,BURUNDI,Sub-Saharan Africa
E3,CAMBODIA,South & Southeast Asia
E4,CAMEROON,Sub-Saharan Africa
Z4,CANADA (Federal Level),NORTH AMERICA
E8,CAPE VERDE,Sub-Saharan Africa
E9,CAYMAN ISLANDS,Caribbean Islands
F0,CENTRAL AFRICAN REPUBLIC,Sub-Saharan Africa
F2,CHAD,Sub-Saharan Africa
F3,CHILE,South America
F4,CHINA,East Asia
F6,CHRISTMAS ISLAND,Oceania
F7,COCOS (KEELING) ISLANDS,Oceania
F8,COLOMBIA,South America
F9,COMOROS,Sub-Saharan Africa
G0,CONGO,Sub-Saharan Africa
Y3,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",Sub-Saharan Africa
G1,COOK ISLANDS,Oceania
G2,COSTA RICA,Central America
L7,COTE D'IVOIRE,Sub-Saharan Africa
1M,CROATIA,Europe
G3,CUBA,Caribbean Islands
G4,CYPRUS,West Asia
2N,CZECH REPUBLIC,Europe
G7,DENMARK,Europe
1G,DJIBOUTI,Sub-Saharan Africa
G9,DOMINICA,Caribbean Islands
G8,DOMINICAN REPUBLIC,Caribbean Islands
H1,ECUADOR,South America
H2,EGYPT,North Africa
H3,EL SALVADOR,Central America
H4,EQUATORIAL GUINEA,Sub-Saharan Africa
1J,ERITREA,Sub-Saharan Africa
1H,ESTONIA,Europe
H5,ETHIOPIA,Sub-Saharan Africa
H7,FALKLAND ISLANDS (MALVINAS),South America
H6,FAROE ISLANDS,Europe
H8,FIJI,Oceania
H9,FINLAND,Europe
I0,FRANCE,Europe
I3,FRENCH GUIANA,South America
I4,FRENCH POLYNESIA,Oceania
2C,FRENCH SOUTHERN TERRITORIES,Antarctic
I5,GABON,Sub-Saharan Africa
I6,GAMBIA,Sub-Saharan Africa
2Q,GEORGIA,West Asia
2M,GERMANY,Europe
J0,GHANA,Sub-Saharan Africa
J1,GIBRALTAR,Europe
J3,GREECE,Europe
J4,GREENLAND,Europe
J5,GRENADA,Caribbean Islands
J6,GUADELOUPE,Caribbean Islands
GU,GUAM,Oceania
J8,GUATEMALA,Central America
Y7,GUERNSEY,Europe
J9,GUINEA,Sub-Saharan Africa
S0,GUINEA-BISSAU,Sub-Saharan Africa
K0,GUYANA,South America
K1,HAITI,Caribbean Islands
K4,HEARD ISLAND AND MCDONALD ISLANDS,Antarctic
X4,HOLY SEE (VATICAN CITY STATE),Europe
K2,HONDURAS,Central America
K3,HONG KONG,East Asia
K5,HUNGARY,Europe
K6,ICELAND,Europe
K7,INDIA,South & Southeast Asia
K8,INDONESIA,South & Southeast Asia
K9,"IRAN, ISLAMIC REPUBLIC OF",Middle East
L0,IRAQ,Middle East
L2,IRELAND,Europe
Y8,ISLE OF MAN,Europe
L3,ISRAEL,Middle East
L6,ITALY,Europe
L8,JAMAICA,Caribbean Islands
M0,JAPAN,East Asia
Y9,JERSEY,Europe
M2,JORDAN,Middle East
1P,KAZAKSTAN,Central Asia
M3,KENYA,Sub-Saharan Africa
J2,KIRIBATI,Oceania
M4,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",East Asia
M5,"KOREA, REPUBLIC OF",East Asia
M6,KUWAIT,Middle East
1N,KYRGYZSTAN,Central Asia
M7,LAO PEOPLE'S DEMOCRATIC REPUBLIC,South & Southeast Asia
1R,LATVIA,Europe
M8,LEBANON,Middle East
M9,LESOTHO,Sub-Saharan Africa
N0,LIBERIA,Sub-Saharan Africa
N1,LIBYAN ARAB JAMAHIRIYA,North Africa
N2,LIECHTENSTEIN,Europe
1Q,LITHUANIA,Europe
N4,LUXEMBOURG,Europe
N5,MACAU,East Asia
1U,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF",Europe
N6,MADAGASCAR,Sub-Saharan Africa
N7,MALAWI,Sub-Saharan Africa
N8,MALAYSIA,South & Southeast Asia
N9,MALDIVES,South & Southeast Asia
O0,MALI,Sub-Saharan Africa
O1,MALTA,Europe
1T,MARSHALL ISLANDS,Oceania
O2,MARTINIQUE,Caribbean Islands
O3,MAURITANIA,Sub-Saharan Africa
O4,MAURITIUS,Sub-Saharan Africa
2P,MAYOTTE,Sub-Saharan Africa
O5,MEXICO,Central America
1K,"MICRONESIA, FEDERATED STATES OF",Oceania
1S,"MOLDOVA, REPUBLIC OF",North Asia
O9,MONACO,Europe
P0,MONGOLIA,East Asia
Z5,MONTENEGRO,Europe
P1,MONTSERRAT,Caribbean Islands
P2,MOROCCO,North Africa
P3,MOZAMBIQUE,Sub-Saharan Africa
E1,MYANMAR,South & Southeast Asia
T6,NAMIBIA,Sub-Saharan Africa
P5,NAURU,Oceania
P6,NEPAL,South & Southeast Asia
P7,NETHERLANDS,Europe
P8,NETHERLANDS ANTILLES,Caribbean Islands
1W,NEW CALEDONIA,Oceania
Q2,NEW ZEALAND,Oceania
Q3,NICARAGUA,Central America
Q4,NIGER,Sub-Saharan Africa
Q5,NIGERIA,Sub-Saharan Africa
Q6,NIUE,Oceania
Q7,NORFOLK ISLAND,Oceania
1V,NORTHERN MARIANA ISLANDS,Oceania
Q8,NORWAY,Europe
P4,OMAN,Middle East
R0,PAKISTAN,Central Asia
1Y,PALAU,Oceania
1X,"PALESTINIAN TERRITORY, OCCUPIED",Middle East
R1,PANAMA,Central America
R2,PAPUA NEW GUINEA,Oceania
R4,PARAGUAY,South America
R5,PERU,South America
R6,PHILIPPINES,South & Southeast Asia
R8,PITCAIRN,Oceania
R9,POLAND,Europe
S1,PORTUGAL,Europe
PR,PUERTO RICO,Caribbean Islands
S3,QATAR,Middle East
S4,REUNION,Sub-Saharan Africa
S5,ROMANIA,Europe
1Z,RUSSIAN FEDERATION,North Asia
S6,RWANDA,Sub-Saharan Africa
Z0,SAINT BARTHELEMY,Caribbean Islands
U8,SAINT HELENA,Sub-Saharan Africa
U7,SAINT KITTS AND NEVIS,Caribbean Islands
U9,SAINT LUCIA,Caribbean Islands
Z1,SAINT MARTIN,Caribbean Islands
V0,SAINT PIERRE AND MIQUELON,North America
V1,SAINT VINCENT AND THE GRENADINES,Caribbean Islands
Y0,SAMOA,Oceania
S8,SAN MARINO,Europe
S9,SAO TOME AND PRINCIPE,Sub-Saharan Africa
T0,SAUDI ARABIA,Middle East
T1,SENEGAL,Sub-Saharan Africa
Z2,SERBIA,Europe
T2,SEYCHELLES,Sub-Saharan Africa
T8,SIERRA LEONE,Sub-Saharan Africa
U0,SINGAPORE,South & Southeast Asia
2B,SLOVAKIA,Europe
2A,SLOVENIA,Europe
D7,SOLOMON ISLANDS,Oceania
U1,SOMALIA,Sub-Saharan Africa
T3,SOUTH AFRICA,Sub-Saharan Africa
1L,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,Antarctic
U3,SPAIN,Europe
F1,SRI LANKA,South & Southeast Asia
V2,SUDAN,Sub-Saharan Africa
V3,SURINAME,South America
L9,SVALBARD AND JAN MAYEN,Europe
V6,SWAZILAND,Sub-Saharan Africa
V7,SWEDEN,Europe
V8,SWITZERLAND,Europe
V9,SYRIAN ARAB REPUBLIC,Middle East
F5,"TAIWAN, PROVINCE OF CHINA",East Asia
2D,TAJIKISTAN,Central Asia
W0,"TANZANIA, UNITED REPUBLIC OF",Sub-Saharan Africa
W1,THAILAND,South & Southeast Asia
Z3,TIMOR-LESTE,South & Southeast Asia
W2,TOGO,Sub-Saharan Africa
W3,TOKELAU,Oceania
W4,TONGA,Oceania
W5,TRINIDAD AND TOBAGO,Caribbean Islands
W6,TUNISIA,North Africa
W8,TURKEY,West Asia
2E,TURKMENISTAN,Central Asia
W7,TURKS AND CAICOS ISLANDS,Caribbean Islands
2G,TUVALU,Oceania
W9,UGANDA,Sub-Saharan Africa
2H,UKRAINE,North Asia
C0,UNITED ARAB EMIRATES,Middle East
X0,UNITED KINGDOM,Europe
2J,UNITED STATES MINOR OUTLYING ISLANDS,Oceania
X3,URUGUAY,South America
2K,UZBEKISTAN,Central Asia
2L,VANUATU,Oceania
X5,VENEZUELA,South America
Q1,VIET NAM,South & Southeast Asia
D8,"VIRGIN ISLANDS, BRITISH",Caribbean Islands
VI,"VIRGIN ISLANDS, U.S.",Caribbean Islands
X8,WALLIS AND FUTUNA,Oceania
U5,WESTERN SAHARA,North Africa
T7,YEMEN,Middle East
Y4,ZAMBIA,Sub-Saharan Africa
Y5,ZIMBABWE,Sub-Saharan Africa
XX,UNKNOWN,UNKNOWN
